College_Name,Location,Affiliation/Accreditation,Courses_Offered,Fees (INR),Ranking,Entrance_Exam,Scholarships_Offered,Placement_Rate (%),Average_Salary (INR),Infrastructure_Facilities,Admission_Process,Application_Fees (INR),Student_Intake,Campus_Area (Acres),Hostel_Fees (INR),Mode_of_Education,Contact_Details,Link_to_College_Website
Vellore Institute of Technology (VIT),"Vellore, Tamil Nadu","Autonomous, NAAC A++","CSE, ECE, Mechanical, Civil","1,98,000/year",12,VITEEE,"Merit-based, Need-based",94,"6,50,000","Hostels, Labs, Libraries, Sports Complex","Online Application, Counseling","1,200","1,800",372,"95,000/year",Full-time,"Phone: 0416-2202020, Email: info@vit.ac.in",www.vit.ac.in
Indian Institute of Technology Bombay (IITB),"Mumbai, Maharashtra","IIT, Autonomous","CSE, Electrical, Mechanical, Aerospace","2,24,000/year",3,JEE Advanced,Merit-based,98,"14,00,000","Hostels, Research Labs, Sports, Libraries","JEE Advanced Score, Counseling","3,000","1,200",550,"1,20,000/year",Full-time,"Phone: 022-25722545, Email: info@iitb.ac.in",www.iitb.ac.in
Birla Institute of Technology and Science,"Pilani, Rajasthan","Deemed, NAAC A","CSE, EEE, Mechanical, Chemical","3,18,000/year",6,BITSAT,"Merit-based, Sports quota",96,"12,50,000","Hostels, Labs, Libraries, Sports, Cafeteria","BITSAT Exam, Counseling","3,300","2,500",328,"1,05,000/year",Full-time,"Phone: 01596-242192, Email: adm@bits-pilani.ac.in",www.bits-pilani.ac.in
Delhi Technological University (DTU),"Delhi, Delhi","Delhi University, NAAC A","IT, CSE, ECE, Mechanical, Civil","1,90,000/year",36,JEE Main,Merit-based,90,"10,00,000","Hostels, Labs, Libraries, Sports Complex","JEE Main Score, Counseling","1,500","2,400",164,"85,000/year",Full-time,"Phone: 011-27871018, Email: info@dtu.ac.in",www.dtu.ac.in
SRM Institute of Science and Technology,"Chennai, Tamil Nadu","Deemed, NAAC A++","CSE, Aerospace, Mechatronics, Civil","2,50,000/year",30,SRMJEEE,"Merit-based, Sports quota",85,"5,75,000","Hostels, Labs, Libraries, Medical Center","SRMJEEE Exam, Counseling","1,200","3,000",250,"90,000/year",Full-time,"Phone: 044-27417000, Email: admissions@srmist.edu.in",www.srmist.edu.in
Manipal Institute of Technology,"Manipal, Karnataka","MAHE, NAAC A+","CSE, ECE, Mechanical, Civil, Aeronautical","3,35,000/year",18,MET,Merit-based,92,"8,00,000","Hostels, Labs, Libraries, Sports, Health Center","MET Score, Counseling","2,000","2,500",600,"1,10,000/year",Full-time,"Phone: 0820-2922057, Email: admissions@manipal.edu",www.manipal.edu
Indian Institute of Technology Madras (IITM),"Chennai, Tamil Nadu","IIT, Autonomous","CSE, Electrical, Mechanical, Civil","2,00,000/year",1,JEE Advanced,Merit-based,99,"16,00,000","Hostels, Research Labs, Libraries, Sports Complex","JEE Advanced Score, Counseling","3,000","1,300",620,"1,15,000/year",Full-time,"Phone: 044-22578000, Email: info@iitm.ac.in",www.iitm.ac.in
Indian Institute of Technology Delhi (IITD),"Delhi, Delhi","IIT, Autonomous","CSE, Electrical, Mechanical, Textile","2,20,000/year",2,JEE Advanced,Merit-based,97,"15,00,000","Hostels, Research Labs, Libraries, Sports Complex","JEE Advanced Score, Counseling","3,000","1,200",325,"1,10,000/year",Full-time,"Phone: 011-26581073, Email: info@iitd.ac.in",www.iitd.ac.in
National Institute of Technology Tiruchirappalli (NITT),"Tiruchirappalli, Tamil Nadu","NIT, Autonomous, NAAC A+","CSE, ECE, Mechanical, Chemical, Civil","1,48,000/year",9,JEE Main,"Merit-based, Scholarships",89,"9,00,000","Hostels, Labs, Libraries, Medical Center","JEE Main Score, Counseling","2,500",800,,"65,000/year",Full-time,"Phone: 0431-2503000, Email: info@nitt.edu",www.nitt.edu
PES University,"Bangalore, Karnataka","Deemed, NAAC A","CSE, ECE, Mechanical, Civil, Biotechnology","3,10,000/year",58,PESSAT,"Merit-based, Scholarships",87,"7,00,000","Hostels, Labs, Libraries, Sports Complex","PESSAT Exam, Counseling","1,050","2,000",75,"95,000/year",Full-time,"Phone: 080-26721983, Email: admissions@pes.edu",www.pes.ed
